ChiSqrHorizontalRelativeVolume;ChiSqrVerticalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;KzhaVerticalThreshold;KzhaVerticalBitsVolume;Noise;Sharpness;Blur;Contrast;EntropyShennon;EntropyRenyi11;PixelsNum;IsDataHided
0,59375;0,59375;0,24563653421402534;0;0;0;0;8,958177602;219;0,21635612133056903;0,36123391334598975;6,950092079717924;6,874772053677779;16384;True
0;0;0,000148331;0;0;0;0;6,562684695081603;137;0,4932971984744101;0,6195105978592086;7,431286291950974;7,398443081037437;122500;False
0,0078125;0,0078125;0,010226234505617373;0;0;0;0;6,079911586448771;90,50966799187808;0,6553387014922015;0,5259490246177799;7,511673128437205;7,488786177671635;262144;False
0;0;0,000130247;0;0;0;0;3,312642872725907;185;0,6490666497643597;0,621783495;6,978740252783073;6,926661391673981;307200;False
0;0;0,00831957;0;0;0;0;2,401685227303375;83;1,2036910056235939;0,3637901988103797;6,969112543437663;6,925605911193081;307200;False
0;0;0,005180282;0;0;0;0;4,243092648114912;104;0,9761296124250385;0,407783676;7,355047216717371;7,334559726297084;524288;False
0;0;0,002333944;0;0;0;0;4,067014474105216;91,92388155425117;0,918580347;0,39175195920347894;7,067595265347069;7,021895253810774;524288;False
0,98989899;0,98989899;0,785798954;0;0;0;0;16,402816019359598;244;0,2978674260499156;0,6008953172319083;7,700458730605444;7,664030842;196020;True
0;0;0,001264109;0;0;0;0;2,406679717630726;89;1,2093521064383386;0,36898128833287497;6,664945573;6,546838924961169;524288;False
0,013774104683195593;0,013774104683195593;0,11472027707747783;80,90853909869136;47;55,99236978231424;829;42,34655209;195;0,15932065185207572;0,4077503517412309;7,795607214595861;7,779324328;740520;True
0;0;0,10338641379227416;0;0;0;0;17,05193959;203;0,22535894142073432;0,7864364408420015;7,137777950437655;7,045245860667748;587520;False
0,26991150442477874;0,26991150442477874;0,49028734597233997;0;0;0;0;9,789764636077338;66;1,1785497001517427;0,30481174507813524;7,276622293447215;7,205693155107594;691560;True
0;0;0,00560858;83,02740374817036;41;76,61733692864476;3440;3,0089073936327275;145;0,9263808776238629;0,7259581249560091;5,651911210228093;5,499759776793314;691560;True
0;0;0,42805408041922216;22,301629418916846;8;0;0;7,448109913;210;0,5929993560338238;0,8201423777648328;7,249243763213942;7,1605433097706195;691560;True
0,020648968;0,020648968;0,028995077176576903;0;0;0;0;11,227188193875708;181;0,4246646422894315;0,5074351239828735;7,412586469946604;7,376526211548911;691560;False
0;0;0,000801995;0;0;0;0;2,942425755274645;57,27564927611034;1,6149031590360259;0,2955829431323139;6,720502663;6,6744722749909675;524288;False
0;0;0,001066041;0;0;0;0;2,5779957473756285;157;0,5094853006701175;0,49901354687970806;6,828905816547854;6,757745585017545;697680;False
0;0;0,00084345;0;0;0;0;2,4563598937102884;127;2,4134073069040083;0,26796801760730055;7,281702546;7,236160204170975;2097152;False
0;0;0,00049841;0;0;0;0;1,2084485457379448;105;2,5884533970217047;0,2987548537201292;7,143185368773358;7,09000125;2097152;False
0,001953125;0,001953125;0,8290832467674091;0;0;0;0;1,4244150204413049;46;2,6558565814751915;0,19600685164995318;7,140970944486945;7,092709776878569;2097152;True
0,21875;0,21875;0,13822841911145603;0;0;0;0;7,736121887;160;0,25086894608706306;0,48897166120255164;7,700920067430893;7,687627133537224;16384;False
1;1;0,8357208635254697;0;0;0;0;16,104111977794236;212;0,24318173032311946;0,4157574945496392;7,396152551890462;7,356577747283857;50325;True
0,004444444;0,004444444;0,063505733;0;0;0;0;23,47348359674119;185;0,27818073917770875;0,6084081678867991;7,375312362659822;7,313561128493044;50625;False
0,010362694300518135;0,010362694300518135;0,024637272;0;0;29,82433399199753;8;12,517705314921784;109;0,5123358799705017;0,26867566570111273;6,6675758449052065;6,627473188421142;193000;False
0,002083333;0,002083333;0,7170740611225602;0;0;0;0;1,842176750869602;200;0,8191082598754446;0,42722585442784766;6,0432592429883805;5,808104391622164;307200;True
0,045454545454545456;0,045454545454545456;0,14147914186196256;29,414112568920892;8;26,493667549515134;9;18,916529311906842;156;0,252988169;0,4088619107361398;7,767102346984132;7,750670060324467;187000;False
0,015625;0,015625;0,3492622451684478;13,260412378726258;0;0;0;7,787853692665053;126;1,156260889126091;0,3158282694507959;7,040287904327808;6,9992518813795686;262144;True
0,064583333;0,064583333;0,005231052;0;0;0;0;5,116315405547269;152;0,6557671002162958;0,4757513745272372;7,439478582102823;7,424016803166403;307200;False
0,003472222;0,003472222;0,2678861439581855;0;0;0;0;3,6531336433066506;174;1,2281783651496572;0,5940482013104549;6,900191460099296;6,843066163;587520;True
0;0;0,011414236607086676;0;0;0;0;3,0150175230603296;79,90306627407986;0,8679560764110197;0,2986539493556608;6,1849673086218715;6,102807253704197;524288;False
0;0;0,001767437;0;0;0;0;3,3349835523253004;87;1,1016768228619458;0,4092673154071249;7,268454359826179;7,236536986203096;524288;False
0;0;0,003572962;0;0;0;0;6,188701598560026;70,71067811865474;0,8271718688863926;0,40862156684467393;7,348701095034165;7,327766732644671;524288;False
0;0;0,7469174684091172;0;0;0;0;3,9526879579791214;205;0,3326442126837893;0,6401110026237484;7,280888547877402;7,163575780129833;691560;True
0,005649718;0,005649718;0,067650768;0;0;0;0;28,382486212218318;142;0,2609357351439301;0,3085308530022905;7,370480070230479;7,352229332127744;722160;False
0,001474926;0,001474926;0,4628248100023081;0;0;0;0;4,415288861404063;167;0,32187918313372366;0,39978295994574403;6,983289772851184;6,889044047271462;691560;True
0,00390625;0,00390625;0,5983079316563419;0;0;0;0;2,8171832275242075;202;0,3438978070027096;0,6869686339036613;7,672403178023722;7,648629653044962;783360;True
0;0;0,012767707010271185;49,82541564336394;63;53,206206260157266;6136;9,887103720990813;168;0,3004857451164625;0,48281677138323087;7,356389478;7,312623475827604;807840;True
0,7200520833333334;0,7200520833333334;0,839665658;0;0;0;0;34,291446871411544;214;0,19964355917864776;0,40884547510757063;7,800475729382641;7,787429164102317;783360;True
0,003787879;0,003787879;0,4976378729135032;0;0;0;0;30,59145898221427;224;0,1621264933447517;0,5110058589950657;7,760109542;7,7264254650647635;807840;True
0;0;0,000557521;0;0;0;0;1,1716104612844194;88;1,478237578;0,2476450455996738;7,040761798015404;6,990142387855059;2097152;False
0,0625;0,0625;0,7174076367913879;0;0;0;0;32,82755295594788;209;0,14607573042323088;0,36303396730845355;7,821488845;7,808884763717012;16384;False
0;0;0,042588665;44,17948793968207;26;63,443940325610406;592;9,479071129851173;132;0,3321866901695195;0,6204165472955913;7,405886118;7,358998022784576;50505;True
0;0;0,060136645;0;0;0;0;3,9350999113585345;151;0,329138843;0,5937532696391902;7,674278324461018;7,657641793662346;50325;False
0,078125;0,078125;0,3690396429271101;0;0;0;0;5,115074327033964;131;1,1362144965477186;0,5837047027352353;7,031148774549413;6,986247076061413;262144;True
0,077083333;0,077083333;0,001102885;0;0;0;0;10,911181960766104;151;0,5026227351712209;0,47294586675111233;7,222110957915915;7,179916101538488;307200;False
0,072916667;0,072916667;0,019664691;53,693335051489946;28;53,693335051489946;1664;13,013775694581494;144;0,3726522724861534;0,4195808306558833;7,021693438967175;6,974850521534816;307200;True
0;0;0,004604587;0;0;0;0;6,3953267729258725;198;1,2298395987858486;0,2988871738467376;6,494019224413124;6,419048928796399;262144;False
0,045833333;0,045833333;0,029711053138301597;0;0;0;0;7,646294164728625;72;0,7318520000863874;0,20741344882609394;6,384451849;6,327057274917941;307200;False
0;0;0,000642682;0;0;0;0;2,1970271288408236;139;1,0586313605762956;0,45993110554583644;6,938292999;6,912154600602427;307200;False
0;0;0,002288025;0;0;0;0;1,9123481374130056;68;1,2052708530653156;0,3353758118030675;7,331859113617738;7,310112129131004;524288;False
0,005859375;0,005859375;0,005909956;0;0;0;0;5,027354080317004;68;0,7243277744543931;0,32760455385961496;7,121142560333821;7,094019218600678;524288;False
0;0;0,001859693;0;0;0;0;2,7788146455275995;92;1,272778473699032;0,3894024905980889;6,750108214255054;6,599698859236388;524288;False
0;0;0;0;0;0;0;1,5708989416966415;72,12489168102785;1,3145288473351535;0,3143905394256481;7,1277223083204335;7,086123336684949;524288;False
0;0;0,085791717;41,90454011;91;41,90454011316789;5816;6,695252164816759;91;0,6744754781449763;0,3784558537835863;7,209867659994752;7,155159695244898;524288;True
0,001474926;0,001474926;0,40240316520298697;0;0;0;0;1,544702975;118,79393923933998;0,8275317402404776;0,3715372561500552;5,912194891635307;5,781370076425349;691560;True
0;0;0,006836777;0;0;0;0;11,657021229749315;190;0,3487629696777329;0,6260107511811887;7,470441332;7,434535013930433;691560;False
0,014749262536873156;0,014749262536873156;0,30132710715365724;0;0;0;0;11,881952805418997;130;0,4415136186991557;0,4690528575556428;7,325165646667988;7,294491903642191;691560;True
0;0;0,043088958744176266;0;0;0;0;0;183;0,48860025967232484;0,5842523046294854;4,473496077828215;3,9466695050037597;838440;False
0;0;0,003696433;52,41295093815249;6888;84,36041075091478;27;3,3872615134352015;119;1,2267884981558559;0,2597522082123876;7,337266843493421;7,293408465;2097152;True
0;0;0,3275326474882277;0;0;0;0;1,3644625033311653;50;2,1022541708727083;0,21816852158388414;7,0202928541366525;6,9877314950320475;2097152;True
0,008888889;0,008888889;0,6810549617273961;0;0;0;0;20,629318785282653;212;0,2999857784519734;0,5842713330642786;6,206113371427917;5,886294389934723;50625;True
0;0;0,31579909084957575;0;0;0;0;3,165740826965416;136;0,9535575269591181;0,6443219772173105;6,826662706001678;6,762891650294721;307200;True
1;1;0,8788113373761957;0;0;0;0;2,5386296755504025;173;0,7783579990732256;0,46049234555547497;5,904172322670692;5,678694403312238;307200;True
0,5291666666666667;0,5291666666666667;0,14446484456149436;0;0;0;0;4,921762584154601;146;0,575609665;0,5849839406657209;7,230482823659118;7,193464995823786;307200;True
0;0;0,001946507;0;0;0;0;5,247826563631401;131;0,8288666573918323;0,3459733635510582;6,943879049;6,877915864318791;524288;False
0,6953125;0,6953125;0,1538971598998601;0;0;0;0;2,7359034619069185;61;1,5598145911306014;0,2737491671854866;7,2123337685870155;7,188461342562153;524288;True
0;0;0,002081644;0;0;0;0;8,931122877;123;1,2809632242995221;0,34049327421072545;7,039203338217216;7,013634415448471;262144;False
0,005859375;0,005859375;0,6867643989164062;0;0;0;0;4,793655008891366;95,25649584149103;0,6975161311780749;0,3291247633927611;7,210756185399445;7,153207544908744;524288;True
0,00625;0,00625;0,017071723691936307;0;0;0;0;8,860036526805043;132;0,4376498544726096;0,4910436069924438;7,2260498238345345;7,204991205;307200;False
0;0;0,012759191314886509;0;0;0;0;5,843671630008114;117;0,4369234153975902;0,447812399;7,396423644985969;7,357492414;524288;False
0,001953125;0,001953125;0,327739466;0;0;0;0;4,731849830811214;65,76093065034891;1,0163141244339682;0,321688108;7,442844503976638;7,417129772698829;524288;True
0;0;0;0;0;0;0;4,308134796886931;176;0,5100917270222517;0,4427075370162219;6,608091418692269;6,468312991535488;581400;False
0;0;0,003196717;0;0;0;0;2,6012041364953262;77;1,4185933876828751;0,3420925470604919;7,271114575443528;7,2350732355042116;524288;False
0,001474926;0,001474926;0,2293054832323845;0;0;0;0;5,879142181915805;85;1,3459816736628458;0,5396756396891077;7,10093758;7,068312948661983;691560;True
0,002949853;0,002949853;0,018010857862351373;0;0;0;0;4,255580223466094;155;0,5672872242274116;0,3732303423702692;6,886667151506269;6,840795898617836;691560;False
0;0;0,3240910390499045;0;0;0;0;5,138189463279351;151;0,7589350047281086;0,5717018932931386;7,338510970658193;7,297966890361204;699392;True
0;0;0,002167771;0;0;0;0;1,3980078280776345;83;1,5364707692420407;0,24879423417956487;6,940312488196909;6,895820574691823;2097152;False
0;0;0,001566574;0;0;0;0;2,6972678103427503;46;1,207363635944934;0,20504837395136602;7,157837789020191;7,109867414810364;2097152;False
0,340820313;0,340820313;0,17636452497186964;0;0;0;0;0,5663109377516621;95;2,1486222459005475;0,24039561824712058;6,589185682720522;6,437008414663602;2097152;True
0;0;0,34413982054123676;0;0;0;0;24,40676472;242;0,36422302886561064;0,48061623844747636;7,598846117045643;7,579165430360828;6552644;False
0,4609375;0,4609375;0,2595104108117806;0;0;0;0;18,15366479772553;170,41273426595794;0,17861893029239256;0,40926344508550555;7,733961753;7,715260427484952;16384;True
0,051612903;0,051612903;0,035582958501931154;0;0;0;0;4,5612073501249935;218;0,22717872172059794;0,6693035002342798;7,2093686782312885;7,106382283966262;50530;False
0;0;0,045617129;0;0;0;0;5,166659607883277;178;0,343611644;0,6460744053348912;7,1485511938829225;7,049031634;50369;False
0,075;0,075;0,081160865;0;0;0;0;3,977622281008734;138;0,5623479491328046;0,5703239057576919;7,160927004929042;7,1162402804471805;307200;True
0;0;0,3041736079073613;0;0;0;0;7,319679103612432;125,1579002700189;1,3878277074245056;0,29926450656654485;6,830736200628654;6,749430719384868;262144;True
0,002083333;0,002083333;0,39540026637199716;0;0;0;0;7,227854347681427;171;0,42363532059374925;0,5140267399256968;7,364612552265134;7,309099501;307200;True
0,01171875;0,01171875;0,043790047842920475;0;0;0;0;12,014866060586346;226;0,28747232405556356;0,6925186621795759;6,284800870633995;5,973388357523491;262144;False
0;0;0,5727268680468868;0;0;0;0;5,355417025882434;93,33809511662427;0,8291471750152613;0,33409240885064373;7,387630978321957;7,355977637526987;524288;True
0;0;0,005252762;0;0;0;0;3,8448542918140562;90,50966799187808;0,7786609635834373;0,38589598251879187;7,126887190344987;7,083414931379295;524288;False
0;0;0,42979711782911956;0;0;0;0;2,3074380722334586;100,5;0,7796718551796648;0,41937482966817335;7,294059274647038;7,260200413151382;524288;True
0,001953125;0,001953125;0,3666805136930565;0;0;0;0;6,062224844318132;101,5;0,6634524613979009;0,43871836689328936;7,391860629781675;7,359422582835826;524288;True
0;0;0,028642208296226615;0;0;0;0;2,679213441061775;93;0,7900508278168149;0,3549520058534175;7,1534818828360764;7,094766527939135;524288;False
0;0;0,003533215;0;0;0;0;2,359395511890577;79,19595949289332;1,3526557086060593;0,3087253797999805;7,377069796417064;7,352506395630152;524288;False
0,0078125;0,0078125;0,26045344360469036;0;0;0;0;2,891027872874524;81;0,7223010561294357;0,3524903309776403;6,928638981196196;6,8863904692646125;524288;True
0,004901961;0,004901961;0,041706428;61,02354599963998;28;61,02354599963998;1739;5,453442755307645;199;0,271424591;0,4071191299039025;7,267969714689362;7,198917188459772;691560;True
0;0;0,003282002;0;0;0;0;0,687319946;138;0,7599760872835866;0,5865330496887021;7,012307231633329;6,938884329358127;691560;False
0,008849558;0,008849558;0,026900815183530494;84,62001301889309;13;75,07520251349297;1080;15,004742792055435;150;0,5955255498350311;0,929782579;7,451996865437579;7,409183766420017;691560;True
0,047619047619047616;0,047619047619047616;0,004990955;0;0;0;0;0,906093098;206;0,6458524368913708;0,4865805370190532;6,646384881537559;6,487118463404936;728280;False
0,20353982300884957;0,20353982300884957;0,8068649500114349;0;0;0;0;18,980756869546973;183;0,2962108855642972;0,4792570483756888;7,657339583347347;7,635911120692278;691560;True
0;0;0;0;0;0;0;1,2130013782832143;95;2,003521432877343;0,24059510502646314;7,1303549734646925;7,084573783225283;2097152;False
0,6865671641791045;0,6865671641791045;0,1611666944043477;0;0;0;0;15,047854699539522;238;0,19710353568948477;0,6394893255290014;7,725758927093728;7,7033525172025215;50384;True
0,425531915;0,425531915;0,4490413537905204;0;0;0;0;7,277624851552645;200;0,3806760657025751;0,6300281894448148;7,196692727503633;7,139727767330079;50384;True
0;0;0,015221834;62,03723068259912;1608;83,74524591573942;26;5,724993511222854;64,39875775199394;0,4368011063992868;0,5210926875471578;6,539767144;6,474720779;262144;True
0;0;0,253920785;0;0;0;0;2,6528984784500986;111,7228714274745;0,6425121660986499;0,4146809033896255;6,528270837641688;6,4530977288265445;524288;True
0,018716578;0,018716578;0,006786012;0;0;0;0;8,919471654361255;130;0,7179467490845721;0,5799630705029646;7,344998898592079;7,3166638556639905;187000;False
0,20190023752969122;0,20190023752969122;0;0;0;0;0;15,665444301390718;204;0,3502344324538744;0,39561183660164223;7,485458825354546;7,469931736674288;210500;False
0;0;0,005277346;0;0;0;0;2,6300808501472663;70,71067811865474;1,2578434077468421;0,30227108028727906;7,132685255016482;7,098800111;524288;False
0;0;0,3042476249433403;0;0;0;0;1,4804864368731714;67,97646651599361;1,555404583549655;0,2433332439918015;7,102433113847813;7,078052151149345;524288;True
0,705078125;0,705078125;0,17443084464908284;0;0;0;0;3,539493617465422;94;0,7572301755115718;0,3530866534564725;7,310869305981922;7,264704404169254;524288;True
0;0;0,000315294;0;0;0;0;3,0283339880970717;72;1,055774268965809;0,37334070380912543;6,8868330702159275;6,852119820298369;524288;False
0,021484375;0,021484375;0,8243488287599047;0;0;0;0;3,5292319104501075;65,5;1,3633699386040417;0,315713379;6,823443106233856;6,768086938597649;524288;True
0;0;0,008920967;0;0;0;0;3,075806882;89,09545442950498;0,8210550713017223;0,37063148943196583;6,845427091;6,761602809480264;524288;False
0;0;0,021234870243003374;0;0;0;0;3,161565014350088;143;1,0011550263481916;0,6930582233486908;7,184220327390399;7,143897672940923;605880;False
0,042857143;0,042857143;0,8519723248797201;0;0;0;0;8,691363577;165;0,4884441086472883;0,5691752139757814;7,186364467386478;7,147071112954849;642600;True
0,007861635;0,007861635;0,033978780074923505;0;0;0;0;16,17219715;126,57211383239199;0,36740977018360504;0,42991805215537016;7,439391820345817;7,417732530447006;648720;False
0;0;0,011146930226507633;79,15409278646732;103;60,296828833453304;8960;6,373742085608377;176;0,3054115561824254;0,40370800259488443;7,102554327757921;7,032340594823118;709920;True
0;0;0,072941542;0;0;0;0;16,626051650880733;191;0,2519142363805974;0,5640991588621102;7,837309733140909;7,827954015747382;691560;False
0;0;0,003269539;0;0;0;0;1,7976716943554032;151;0,605111883;0,5045295193033256;7,1089609351740455;7,057712942671295;838440;False
0,6253687315634219;0,6253687315634219;0,18310342656772302;0;0;0;0;24,3339652;196;0,26345895596905605;0,4019936584675501;7,636408686936684;7,619117961912851;691560;True
0;0;0,005217368;0;0;0;0;4,328596385129072;103;1,0311830357362368;0,2762543678771952;7,171619071186911;7,108575482302395;2097152;False
0,2109375;0,2109375;0,10087006134530842;0;0;0;0;16,872218722940325;126;0,2603817364079907;0,43084690350743865;7,324875678332976;7,296017759920237;16384;False
0;0;0,12582219891917254;0;0;0;0;35,62081068679034;250;0,23537425087056932;0,6682652590775205;7,158060494519721;7,004858223916298;50625;False
0,1992619926199262;0,1992619926199262;0,068134622;0;0;0;0;15,82889166590295;241;0,29755081078841383;0,4965548736452043;7,563096291068211;7,533599030143864;50406;False
0,002673797;0,002673797;0,028417004711108185;0;0;0;0;13,160476512697207;172;0,5767581871912622;0,6367857940381372;7,754783087506032;7,741630831455027;187000;False
0,029166666666666667;0,029166666666666667;0,19255669045390136;0;0;0;0;6,808261647111403;159;0,46271122872947557;0,5955349425777794;7,477244011467948;7,441243663508802;307200;True
0;0;0,006208531;0;0;0;0;0,5633035926567483;174;1,0549740377489838;0,38504650265728824;5,913291884633316;5,647646370621752;307200;False
0,04375;0,04375;0,021035611;0;0;0;0;8,248782127179965;152;0,4920924018820669;0,4626225091495455;7,389765535968503;7,3585714065014995;307200;False
0,002083333;0,002083333;0,49429152219197325;0;0;0;0;13,146750159110677;165;0,3615640469736626;0,4422654974101406;7,798064646304246;7,7848575525704495;307200;True
0,12549019607843137;0,12549019607843137;0,5265203737301472;0;0;0;0;8,378088925953966;159,09902576697317;0,5878767631599889;1,0013479230886895;7,443883018;7,413534065701602;691560;True
0,061403509;0,061403509;0,060232439;0;0;0;0;31,403053879453886;212;0,19752479082197902;0,33676743261360464;7,545953199550025;7,522880723685458;581400;False
1;1;0,8767461133870175;0;0;0;0;9,480477885565872;114;0,6205215909292651;0,43421115137683847;7,473698276562247;7,442152230507653;524288;True
0;0;0,064339589;41,870719399547845;3616;54,71526738;29;19,29276705698671;156,97770542341354;0,4127868664569002;0,5616629246521545;7,7681630416416345;7,751878621919131;691560;True
0,700589971;0,700589971;0,15613138311113808;0;0;0;0;26,871438782141134;155;0,25437662718754767;0,41268988090911335;7,413418845504313;7,397341241165686;691560;True
0;0;0,004132328;0;0;0;0;2,399468228954664;196;0,7876582440687141;0,7796594897296505;6,296229800810164;6,191402786294531;691560;False
0;0;0,3096903816899525;0;0;0;0;3,3839139744525157;197;0,3830139709532158;0,4871104489306567;7,118683632427503;7,068987418942709;624240;True
0,013274336;0,013274336;0,041177906695602715;0;0;0;0;4,874191172548729;174;0,4612048038496257;0,3915762323305801;7,0684579858840655;7,004015302998171;691560;False
0,002949853;0,002949853;0,008026458;0;0;0;0;5,189346666910004;188;0,38732788787368483;0,3702693459578865;6,880481884339904;6,797916438072814;691560;False
0;0;0,002990502;0;0;0;0;1,4118026414788116;98;2,3492315981794496;0,20499741842026445;7,049756043135058;7,024808883483335;2097152;False
0;0;0,000698164;0;0;0;0;1,6360328142331102;90;1,494191812678834;0,24950718926407392;6,449878705325162;6,3719532673509045;2097152;False
