ChiSqrHorizontalRelativeVolume;ChiSqrVerticalRelativeVolume;RsRelativeVolume;KzhaHorizontalThreshold;KzhaHorizontalBitsVolume;KzhaVerticalThreshold;KzhaVerticalBitsVolume;PixelsNum;IsDataHided
0,15234375;0,15234375;0,6553042021887511;0;0;0;0;5061120;True
0,8684054534676942;0,8684054534676942;0,2343050215512601;0;0;0;0;5061000;True
0,000325521;0,000325521;0,007048887;84,71336397829147;142;56,35096970563098;54360;6291456;True
1;1;0,8744520283218015;0;0;0;0;6000000;True
0,003240741;0,003240741;0,5569181798751609;0;0;0;0;6998400;True
0;0;0,19424772120488107;0;0;0;0;11500000;True
0;0;0,6251704863044325;0;0;0;0;10036224;True
0;0;0,066376546;0;0;0;0;9830400;True
0;0;0,001907184;0;0;0;0;19009536;False
0;0;0,002972056;0;0;0;0;19961856;False
0,004525777;0,004525777;0;0;0;0;0;19667340;False
0;0;0,2728185721841854;0;0;0;0;19267584;True
0;0;0,024951964387940742;0;0;0;0;19631430;False
0;0;0,019812423614627712;0;0;0;0;20000000;False
0;0;0,0040344;82,55763609944138;253;75,95312176384492;131224;14564818;True
0,001302083;0,001302083;0,24005647400886043;0;0;0;0;22118400;True
0;0;0,026482592957871132;0;0;0;0;24006000;False
0;0;0,000411927;0;0;0;0;30105600;False
0;0;0,000304031;0;0;0;0;29232000;False
0,000282048;0,000282048;0,028389637;0;0;0;0;37546845;False
0,007294833;0,007294833;0,020843255342995113;0;0;0;0;4112500;False
0;0;0,019271228711595718;0;0;0;0;4665600;False
0,0004995;0,0004995;0,9128997108041537;0;0;0;0;6006000;False
0,001736111;0,001736111;0,7320046762629046;0;0;0;0;6912000;True
0,028431372549019607;0,028431372549019607;0,064546796;0;0;0;0;4063680;False
0;0;0,2120894180477745;0;0;0;0;5607000;True
0,001854427;0,001854427;0,099049214;61,31536167196963;91;61,836423878939726;1989;5521920;True
0,00248139;0,00248139;0,002999306;0;0;0;0;6216275;False
0,01484375;0,01484375;0,008757959;61,980155908404065;22408;66,57892662;71;6553600;True
0,000513875;0,000513875;0,022932465;42,00866909;26824;42,68133292751786;74;5684266;True
0,001141553;0,001141553;0,41232761618177344;0;0;0;0;8185344;True
0;0;0,026118398;42,34265196946035;65928;62,488865075695536;172;6291456;True
0,000468823;0,000468823;0,11005588808591481;0;0;0;0;7962489;True
0,000306373;0,000306373;0,055642323;0;0;0;0;7990272;True
0;0;0,24653813634277402;67,22748397007909;8;0;0;8294400;True
0;0;0,024210894024082788;0;0;0;0;10833760;False
0,001322751;0,001322751;0,019157771980266275;80,54061057938637;277;52,693599489923066;20284;9144576;True
0;0;0,5538440255745746;0;0;0;0;12000000;True
0,000323415;0,000323415;0,056884225;0;0;0;0;11131200;False
0;0;0,23112410383922047;0;0;0;0;24000000;False
0,2980392156862745;0,2980392156862745;0,6921403371813707;0;0;0;0;3329280;True
0;0;0,004351891;0;0;0;0;4718592;False
0;0;0,038867627;60,63880316733679;40440;84,61317926;127;4369920;True
0,006127451;0,006127451;0,31764845881408005;82,70172028662176;814;82,92844454792355;163;3329280;True
0;0;0,003640739;0;0;0;0;5064000;False
0;0;0,2348306987841647;0;0;0;0;3525120;False
0,07745098;0,07745098;0,4432277025972644;0;0;0;0;4161600;True
0,500625;0,500625;0,18335167582604184;0;0;0;0;3840000;True
0;0;0,11107991751924902;60,74098818;77;55,23187636480779;15810;3954960;True
0;0;0,5113841168688891;0;0;0;0;3231360;False
0,002416432;0,002416432;0;0;0;0;0;7627776;False
0,002204586;0,002204586;0,6362180480187474;0;0;0;0;9144576;True
0;0;0,000676208;0;0;0;0;14851067;False
0,16473765432098766;0,16473765432098766;0,1880272199049553;0;0;0;0;10036224;True
0;0;0;0;0;0;0;14301925;False
0;0;0,16592954266555268;0;0;0;0;15054336;True
0;0;0,013470042936089175;0;0;0;0;19865880;False
0,000272702;0,000272702;0,052465813;0;0;0;0;20168500;False
0;0;0,071084017;42,35760383634434;62481;57,171760839481024;240;19907328;True
0;0;0,12083052388271442;0;0;0;0;23789568;True
0;0;0,5944092248547154;0;0;0;0;2457600;False
0,003571429;0,003571429;0,006557732;0;0;0;0;2940000;False
0,000490196;0,000490196;0,13103056665543653;56,74768209241063;129;55,61082265203604;20011;3304800;True
0,001302083;0,001302083;0,39815704069696745;0;0;0;0;3133440;True
0,098820059;0,098820059;0,12358538428551191;0;0;0;0;2766240;False
0;0;0,040523184;0;0;0;0;3725664;False
0,091269841;0,091269841;0,7847435666888298;0;0;0;0;3810240;True
0,001677852;0,001677852;0,086446355;76,75324457451383;231;63,41452838038537;2191;3647520;True
0,001302083;0,001302083;0,080800458;0;0;0;0;3133440;False
0,8059895833333334;0,8059895833333334;0,207850703;0;0;0;0;3133440;True
0;0;0,1105630867321833;60,229022095666785;177;59,14691859219595;11299;3769920;True
0,019570707070707072;0,019570707070707072;0,1689348597362884;0;0;0;0;3231360;True
0,00683527;0,00683527;0,19029285512238517;0;0;0;0;3745280;True
0,000625;0,000625;0,010570632226741691;0;0;0;0;4096000;False
0,001136364;0,001136364;0,041033614;0;0;0;0;4104320;False
0,011764705882352941;0,011764705882352941;0,42159606401468214;0;0;0;0;3965760;True
0,19509803921568628;0,19509803921568628;0,23419581608738194;0;0;0;0;4161600;True
0,011274509803921568;0,011274509803921568;0,007640929;0;0;0;0;4161600;False
0;0;0,016931173826005497;47,154761706528944;150;45,140101171758246;25805;5760000;True
0;0;0,16274110728274135;0;0;0;0;10942728;False
0,02359882;0,02359882;0,8253914253199591;0;0;0;0;2766240;True
0,6349557522123894;0,6349557522123894;0,12475267383213447;0;0;0;0;2766240;True
0;0;0,15764980097014064;0;0;0;0;2766240;False
0,46238938053097345;0,46238938053097345;0,8502029407099766;0;0;0;0;2766240;True
0,031710914;0,031710914;0;0;0;0;0;2766240;True
0;0;0,028352388964042945;0;0;0;0;2766240;False
1;1;0,8515168922233523;0;0;0;0;2888640;True
0;0;0,5274873609358154;0;0;0;0;3378240;True
0;0;0,032703108;0;0;0;0;4096000;False
0;0;0,35953099905352986;0;0;0;0;3377152;True
0,017699115044247787;0,017699115044247787;0,022252645;0;0;0;0;2766240;False
0,025073746312684365;0,025073746312684365;0,7670516324311031;0;0;0;0;2766240;True
0,000490196;0,000490196;0,046855009057192476;0;0;0;0;4161600;False
0;0;0,046789673;0;0;0;0;4115000;True
0,001041667;0,001041667;0,710481033;0;0;0;0;5529600;True
0;0;0,3276658613091179;0;0;0;0;6000000;False
0,0015;0,0015;0,5236595399931635;0;0;0;0;12000000;True
0,001004016;0,001004016;0,008366615;0;0;0;0;15872256;False
0,001004016;0,001004016;0,008366615;0;0;0;0;15872256;False
0;0;0,1266557386982221;0;0;0;0;23789568;True
0,011799410029498525;0,011799410029498525;0,036249565;0;0;0;0;2766240;False
0,002923977;0,002923977;0,15867016627223354;0;0;0;0;2790720;False
0,000651042;0,000651042;0,003680164;0;0;0;0;3145728;False
0,029595015576323987;0,029595015576323987;0,029937636;0;0;0;0;2619360;False
0;0;0,71714152;63,985638579182236;176;63,86938927875557;92;2766240;True
0,15947712418300652;0,15947712418300652;0,6712332824952062;0;0;0;0;2937600;True
0,004166667;0,004166667;0,5817436068902765;0;0;0;0;3248640;True
0,14434523809523808;0,14434523809523808;0,6360801283617663;0;0;0;0;2741760;True
0,002604167;0,002604167;0,2028800430523854;0;0;0;0;3133440;True
0,067156863;0,067156863;0,44064898339595954;0;0;0;0;3133440;True
0,000737463;0,000737463;0,2036565924588678;0;0;0;0;2766240;True
0;0;0,008118174;0;0;0;0;4072320;False
0;0;0,22961156227501503;54,46094572507665;12423;55,826635474530406;186;3672000;True
0,000462963;0,000462963;0,008588;0;0;0;0;3732480;False
0,7444779116465864;0,7444779116465864;0,187956589;0;0;0;0;4063680;True
0,078921569;0,078921569;0,4281568103715412;0;0;0;0;4161600;True
0;0;0,002846784;0;0;0;0;7368960;False
0;0;0,43209600372552165;0;0;0;0;11406240;True
0;0;0,11928973286798683;43,37438461619207;240;42,443705333873524;8999;12000000;True
0,00025;0,00025;0,075135399;0;0;0;0;12000000;False
0,00078064;0,00078064;0,017730199806042634;0;0;0;0;2459520;False
0;0;0,000295586;0;0;0;0;3329280;False
0,29129793510324486;0,29129793510324486;0,16735462447888313;0;0;0;0;2766240;True
0,3124410933081998;0,3124410933081998;0,1100037542875975;0;0;0;0;3183000;True
0;0;0,013737638304908697;0;0;0;0;3500640;False
0,001899937;0,001899937;0,010839438745827629;0;0;0;0;4042240;False
0,013157894736842105;0,013157894736842105;0;0;0;0;0;2325600;True
0,005116959;0,005116959;0,020512465491147564;0;0;0;0;2790720;False
0,043619791666666664;0,043619791666666664;0,8377680986891369;0;0;0;0;3133440;True
0,000737463;0,000737463;0,6636074597815101;0;0;0;0;2766240;True
0,003649635;0,003649635;0,007360519;0;0;0;0;3353760;False
0,001141553;0,001141553;0,665798784;0;0;0;0;3574080;True
0;0;0,16680053009841225;0;0;0;0;3231360;True
0,005208333;0,005208333;0,5894730440561435;0;0;0;0;3133440;True
0;0;0,018995561;0;0;0;0;3451680;False
0,001;0,001;0,040240961;0;0;0;0;12000000;False
0;0;0,11169588449246597;0;0;0;0;19445400;False
0,22455696202531644;0,22455696202531644;0,26601725220624667;0;0;0;0;22617700;True
0;0;0,096370145;0;0;0;0;24000000;False
0,002821181;0,002821181;0,038110258;38,895019441543745;243448;81,26562995;564;15925248;True
0,4361979166666667;0,4361979166666667;0,14997154522185885;0;0;0;0;3133440;True
0;0;0,056030449;0;0;0;0;2666000;False
0,000737463;0,000737463;0,041753405;0;0;0;0;2766240;True
0,5014749262536873;0,5014749262536873;0,8366041355923799;0;0;0;0;2766240;True
0,004424779;0,004424779;0,051709224;0;0;0;0;2766240;False
0,014749262536873156;0,014749262536873156;0,49140374608309995;0;0;0;0;2766240;True
0,024336283185840708;0,024336283185840708;0,066675889;0;0;0;0;2766240;False
0;0;0,045519;0;0;0;0;3133440;False
0,27359882005899705;0,27359882005899705;0;0;0;0;0;2766240;True
0;0;0,004404257;0;0;0;0;4261068;False
0;0;0,3249383560147985;0;0;0;0;3276800;False
0,006468305;0,006468305;0,5011884154649705;0;0;0;0;3081178;True
0,059734513274336286;0,059734513274336286;0,40509767353814774;0;0;0;0;2712000;True
0,029498525073746312;0,029498525073746312;0,4277854033761552;0;0;0;0;2766240;True
0,007843137;0,007843137;0,004609461;0;0;0;0;3280320;False
0,002212389;0,002212389;0,15649440493243433;0;0;0;0;2766240;False
0;0;0,078187261;0;0;0;0;2766240;False
0,0015625;0,0015625;0,018738970442126218;0;0;0;0;3686400;False
